Date/Time,Unit,Value
6/12/2023 14:03,C,33
6/12/2023 14:13,C,30.5
6/12/2023 14:23,C,37.5
6/12/2023 14:33,C,40
6/12/2023 14:43,C,38
6/12/2023 14:53,C,35.5
6/12/2023 15:03,C,35
6/12/2023 15:13,C,39.5
6/12/2023 15:23,C,40
6/12/2023 15:33,C,35
6/12/2023 15:43,C,37
6/12/2023 15:53,C,32
6/12/2023 16:03,C,30.5
6/12/2023 16:13,C,31.5
6/12/2023 16:23,C,37
6/12/2023 16:33,C,35.5
6/12/2023 16:43,C,36.5
6/12/2023 16:53,C,35.5
6/12/2023 17:03,C,36.5
6/12/2023 17:13,C,35.5
6/12/2023 17:23,C,35
6/12/2023 17:33,C,34.5
6/12/2023 17:43,C,33
6/12/2023 17:53,C,33
6/12/2023 18:03,C,32.5
6/12/2023 18:13,C,31
6/12/2023 18:23,C,30
6/12/2023 18:33,C,29.5
6/12/2023 18:43,C,29
6/12/2023 18:53,C,28.5
6/12/2023 19:03,C,27.5
6/12/2023 19:13,C,27
6/12/2023 19:23,C,26.5
6/12/2023 19:33,C,26
6/12/2023 19:43,C,25.5
6/12/2023 19:53,C,25
6/12/2023 20:03,C,24.5
6/12/2023 20:13,C,23.5
6/12/2023 20:23,C,23.5
6/12/2023 20:33,C,26
6/12/2023 20:43,C,24
6/12/2023 20:53,C,21.5
6/12/2023 21:03,C,20.5
6/12/2023 21:13,C,20
6/12/2023 21:23,C,19.5
6/12/2023 21:33,C,20
6/12/2023 21:43,C,19.5
6/12/2023 21:53,C,19
6/12/2023 22:03,C,19
6/12/2023 22:13,C,18.5
6/12/2023 22:23,C,18.5
6/12/2023 22:33,C,18
6/12/2023 22:43,C,18
6/12/2023 22:53,C,18
6/12/2023 23:03,C,18
6/12/2023 23:13,C,17.5
6/12/2023 23:23,C,17.5
6/12/2023 23:33,C,17.5
6/12/2023 23:43,C,17.5
6/12/2023 23:53,C,17.5
6/13/2023 0:03,C,17
6/13/2023 0:13,C,17
6/13/2023 0:23,C,17
6/13/2023 0:33,C,17
6/13/2023 0:43,C,16.5
6/13/2023 0:53,C,16.5
6/13/2023 1:03,C,16.5
6/13/2023 1:13,C,16.5
6/13/2023 1:23,C,16
6/13/2023 1:33,C,16
6/13/2023 1:43,C,16
6/13/2023 1:53,C,16
6/13/2023 2:03,C,15.5
6/13/2023 2:13,C,15.5
6/13/2023 2:23,C,15.5
