Date/Time,Unit,Value
6/14/2023 10:40,C,41
6/14/2023 10:50,C,40.5
6/14/2023 11:00,C,42
6/14/2023 11:10,C,42.5
6/14/2023 11:20,C,42.5
6/14/2023 11:30,C,43.5
6/14/2023 11:40,C,44.5
6/14/2023 11:50,C,47
6/14/2023 12:00,C,46
6/14/2023 12:10,C,45
6/14/2023 12:20,C,46.5
6/14/2023 12:30,C,47.5
6/14/2023 12:40,C,47.5
6/14/2023 12:50,C,46.5
6/14/2023 13:00,C,47
6/14/2023 13:10,C,45.5
6/14/2023 13:20,C,47
6/14/2023 13:30,C,47.5
6/14/2023 13:40,C,47
6/14/2023 13:50,C,46
6/14/2023 14:00,C,46.5
6/14/2023 14:10,C,47.5
6/14/2023 14:20,C,47.5
6/14/2023 14:30,C,46
6/14/2023 14:40,C,45.5
6/14/2023 14:50,C,47
6/14/2023 15:00,C,48
6/14/2023 15:10,C,47.5
6/14/2023 15:20,C,46.5
6/14/2023 15:30,C,45.5
6/14/2023 15:40,C,45.5
6/14/2023 15:50,C,47
6/14/2023 16:00,C,46.5
6/14/2023 16:10,C,46.5
6/14/2023 16:20,C,47
6/14/2023 16:30,C,45.5
6/14/2023 16:40,C,45.5
6/14/2023 16:50,C,45.5
6/14/2023 17:00,C,45.5
6/14/2023 17:10,C,45
6/14/2023 17:20,C,44.5
6/14/2023 17:30,C,42.5
6/14/2023 17:40,C,40.5
6/14/2023 17:50,C,40
6/14/2023 18:00,C,40
6/14/2023 18:10,C,39
6/14/2023 18:20,C,38.5
6/14/2023 18:30,C,38
6/14/2023 18:40,C,37
6/14/2023 18:50,C,36
6/14/2023 19:00,C,36
6/14/2023 19:10,C,35.5
6/14/2023 19:20,C,34.5
6/14/2023 19:30,C,33
6/14/2023 19:40,C,32.5
6/14/2023 19:50,C,32
6/14/2023 20:00,C,31
6/14/2023 20:10,C,30.5
6/14/2023 20:20,C,29.5
6/14/2023 20:30,C,29
6/14/2023 20:40,C,28
6/14/2023 20:50,C,27.5
