Date/Time,Unit,Value
6/23/2023 9:59,C,40.5
6/23/2023 10:09,C,42.5
6/23/2023 10:19,C,44
6/23/2023 10:29,C,45.5
6/23/2023 10:39,C,46.5
6/23/2023 10:49,C,47
6/23/2023 10:59,C,49
6/23/2023 11:09,C,49
6/23/2023 11:19,C,50
6/23/2023 11:29,C,50.5
6/23/2023 11:39,C,51.5
6/23/2023 11:49,C,52
6/23/2023 11:59,C,52
6/23/2023 12:09,C,50
6/23/2023 12:19,C,53
6/23/2023 12:29,C,51
6/23/2023 12:39,C,49
6/23/2023 12:49,C,47
6/23/2023 12:59,C,48.5
6/23/2023 13:09,C,44
6/23/2023 13:19,C,40
6/23/2023 13:29,C,37.5
6/23/2023 13:39,C,34.5
6/23/2023 13:49,C,35.5
6/23/2023 13:59,C,35.5
