Date/Time,Unit,Value
6/23/2023 9:51,C,31.5
6/23/2023 10:01,C,33
6/23/2023 10:11,C,33.5
6/23/2023 10:21,C,34
6/23/2023 10:31,C,34.5
6/23/2023 10:41,C,34.5
6/23/2023 10:51,C,34
6/23/2023 11:01,C,34.5
6/23/2023 11:11,C,35
6/23/2023 11:21,C,35.5
6/23/2023 11:31,C,35.5
6/23/2023 11:41,C,35
6/23/2023 11:51,C,36
6/23/2023 12:01,C,34.5
6/23/2023 12:11,C,34.5
6/23/2023 12:21,C,35
6/23/2023 12:31,C,35.5
6/23/2023 12:41,C,36
6/23/2023 12:51,C,36.5
6/23/2023 13:01,C,36.5
6/23/2023 13:11,C,36.5
6/23/2023 13:21,C,36
6/23/2023 13:31,C,36
6/23/2023 13:41,C,35.5
6/23/2023 13:51,C,34.5
6/23/2023 14:01,C,33
